"#Table SX. Raw data reporting development time (time to eclosion in h) of the different fly treatments. 
Vial = the vial flies were counted in; 
Time = time to eclosion (h); 
event = 0 (did not eclose) or 1 (eclosed); 
treatment = whether the flies weree fed diets inoculated with L. brevis (Lb), A. tropicalis (At), or untreated (No_add); 
cage = triplicate cages (a,b, or c) per treatment; 
bacteria = the bacteria the F2 test flies were reared with (bf=bacteria-free, At = Atropicalis, Lb=L. brevis); 
exp = separate day the experiment was set up (A,B,or C); 
acetoCFU = # of Acetobacter CFU per fly collected from the F2 test flies; 
lactoCFU = # of Lactobacillus CFU per fly collected from the F2 test flies; 
contam = if flies bore more than 400 Acetobactor or 400 Lactobacillus cfus per fly, they were deemed contaiminated and were not included in the analysis;
density = number of pupae counted in each vial. 
Source data are from /Users/jmc257/Dropbox/Working Trade-offs/EE Experiment/eclosion_table_trial2_JMC3.csv; ~/Dropbox/Working Trade-offs/EE Experiment/CFU Data/Copy of test_contam_D7 (old added) A-Z NEW 1-20-18 CFU\'s sheets 1-12_JMC.xlsx; and Users/jmc257/Dropbox/Working Trade-offs/EE Experiment/EE Code.csv. ",,,,,,,,,,
vial,time,event,treatment,cage,bacteria,exp,acetoCFU,lactoCFU,contam,density
jex2,9.923611111,1,Lb,Lb-b,bf,A,17920,0,C,26
jex2,9.923611111,1,Lb,Lb-b,bf,A,17920,0,C,26
jex2,9.923611111,1,Lb,Lb-b,bf,A,17920,0,C,26
jex2,10.54513889,1,Lb,Lb-b,bf,A,17920,0,C,26
jex2,10.54513889,1,Lb,Lb-b,bf,A,17920,0,C,26
jex2,10.54513889,1,Lb,Lb-b,bf,A,17920,0,C,26
jex2,10.54513889,1,Lb,Lb-b,bf,A,17920,0,C,26
jex2,10.70833333,1,Lb,Lb-b,bf,A,17920,0,C,26
jex2,10.91875,1,Lb,Lb-b,bf,A,17920,0,C,26
jet3,8.731944444,1,Lb,Lb-b,At,A,15680,0,noC,5
jet3,8.731944444,1,Lb,Lb-b,At,A,15680,0,noC,5
jet3,9.520138889,1,Lb,Lb-b,At,A,15680,0,noC,5
jet3,9.520138889,1,Lb,Lb-b,At,A,15680,0,noC,5
jet3,10.70833333,1,Lb,Lb-b,At,A,15680,0,noC,5
jet2,8.479166667,1,Lb,Lb-b,At,A,10880,0,noC,10
jet2,8.731944444,1,Lb,Lb-b,At,A,10880,0,noC,10
jet2,8.909722222,1,Lb,Lb-b,At,A,10880,0,noC,10
jet2,9.520138889,1,Lb,Lb-b,At,A,10880,0,noC,10
jet2,9.520138889,1,Lb,Lb-b,At,A,10880,0,noC,10
jet2,9.520138889,1,Lb,Lb-b,At,A,10880,0,noC,10
jet2,9.520138889,1,Lb,Lb-b,At,A,10880,0,noC,10
jet2,9.520138889,1,Lb,Lb-b,At,A,10880,0,noC,10
jet2,9.715972222,1,Lb,Lb-b,At,A,10880,0,noC,10
jet2,10.54513889,1,Lb,Lb-b,At,A,10880,0,noC,10
jeb2,9.520138889,1,Lb,Lb-b,Lb,A,580,0,C,16
jeb2,9.520138889,1,Lb,Lb-b,Lb,A,580,0,C,16
jeb2,9.520138889,1,Lb,Lb-b,Lb,A,580,0,C,16
jeb2,9.520138889,1,Lb,Lb-b,Lb,A,580,0,C,16
jeb2,9.520138889,1,Lb,Lb-b,Lb,A,580,0,C,16
jeb2,9.520138889,1,Lb,Lb-b,Lb,A,580,0,C,16
jeb2,9.520138889,1,Lb,Lb-b,Lb,A,580,0,C,16
jeb2,9.520138889,1,Lb,Lb-b,Lb,A,580,0,C,16
jeb2,9.520138889,1,Lb,Lb-b,Lb,A,580,0,C,16
jeb2,9.520138889,1,Lb,Lb-b,Lb,A,580,0,C,16
jeb2,9.715972222,1,Lb,Lb-b,Lb,A,580,0,C,16
jeb2,9.715972222,1,Lb,Lb-b,Lb,A,580,0,C,16
jeb2,9.715972222,1,Lb,Lb-b,Lb,A,580,0,C,16
jeb2,10.70833333,1,Lb,Lb-b,Lb,A,580,0,C,16
jeb2,10.70833333,1,Lb,Lb-b,Lb,A,580,0,C,16
jeb2,10.91875,1,Lb,Lb-b,Lb,A,580,0,C,16
gex4,9.502083333,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,9.715972222,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,9.715972222,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,9.715972222,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,9.923611111,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,9.923611111,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,9.923611111,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,9.923611111,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,9.923611111,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,9.923611111,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.54513889,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.70833333,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.70833333,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.70833333,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.70833333,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.70833333,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.70833333,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.70833333,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.70833333,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.70833333,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.70833333,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.91875,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,10.91875,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,11.50555556,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,11.50555556,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,11.50555556,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,11.79652778,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,11.79652778,1,Lb,Lb-c,bf,A,1360,0,C,55
gex4,11.79652778,1,Lb,Lb-c,bf,A,1360,0,C,55
