Feature ID,kingdom,phylum,class,order,family,genus,species
cf1e67696856ce454b324a3b618fda8a,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Rickettsiaceae, g__Wolbachia, s__
caf579d78116abeeddd77e1b9b5f0a39,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Gluconobacter, s__
b4438e7a077766ceca0e65790741e209,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Commensalibacter, s__intestini
4f6ed50cedb83ca007538d6c3da4218c,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Gluconobacter, s__
fee8295c632f06842eacb1aaac8fed79,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Acetobacter, s__
404f14eb9476411f1c9c7a192a982543,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Gluconacetobacter,
640224e495290c22f43e7b8270c01feb,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Acetobacter, s__
f3b3e396643a30deb57557e812103745,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Acetobacter, s__
68c8bef45589ee57f0a5a3a3a5ab1099,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Commensalibacter, s__intestini
418ac8f39d6de61364be6f89604f6588,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__, g__, s__
48b973539a6b4cd2e54efc45ef7d620e,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
5dd072ad1518b87b1811f964452c606f,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Gluconobacter, s__
e687e1e6be80a04c58bb992e4ea6fde6,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__, g__, s__
ac050d19f7a848a7aca708d0c0429b02,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Gluconacetobacter, s__intermedius
7cce9337eb976e351602a77affc22ad4,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__Providencia, s__
53673104757ddb4735a01c687658ba52,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Gluconacetobacter, s__intermedius
4d752351fe06081312bb785e73b2ce7d,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
7934d1d0fed224107585a291beb50afe,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Acetobacter, s__
b4e526cb58532e9b989a5a02c98a9fcf,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Acetobacter, s__
99a2f14a52ebf17f112cbcfe41cc8748,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Acetobacter, s__
d820e464b0063535b6bd4d602e0e9507,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Dysgonomonas, s__
d2206fa76e1b08fdf81e02a3e2e1b807,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae,,
e31fc567e6f82192bdc77df9696e1189,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Enterococcaceae,,
b92150ec5976921baa0f0de2bf076c42,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
7d9cc6b65b678b7165f21d4db4cc6996,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__, g__, s__
08cb971af25f6d2903f9eaf603743ddf,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
17a98e222b09b3dbd370b76cc28ebf59,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas, s__
6d89e7f87789b6c8dffc04bd6dac1ae9,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__, g__, s__
387145be3dab8d776ee40c0683e49bc9,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
2054838e2c40067faf27865d4a90d7a1,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Gluconacetobacter, s__intermedius
5db695fc90738ea303caf1efebfdf158,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Acetobacter, s__
c6f006c69978987861ed7501b1e97ecb,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__, g__, s__
6f63b126511491df12ae863284df3ad9,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Gluconobacter, s__
20c529baaf210252e84df64cf00c1fed,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Staphylococcaceae, g__Staphylococcus,
684066504a621d4c41bf6428fc0a01b6,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Gluconacetobacter,
e314b2d6ae65172bc692265c8706565c,k__Bacteria,,,,,,
7c7f09bdf4ec94256c910acb365b1d30,k__Bacteria,,,,,,
832890048e0b5b0c867d1e23b66c6e34,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Enterococcaceae, g__Enterococcus,
0262ef3fcc6eaa8ea37f65b9bef28f8e,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Commensalibacter, s__intestini
b971d9f1bcbee21de4219a5cea16e14c,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Acetobacter, s__
c613f45fc7e232add449137cb19f106c,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae, g__Bacillus, s__
638cf3614e6637212050653f0f2f8582,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__Dyella,
f180e4494a83cc6f0937d810c97ccbce,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Listeriaceae, g__Listeria,
0c095287923f616f348fe49fa98b3e55,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__mitochondria, g__Malus, s__x domestica
43711c3a7d42c66ad40de3deaec83897,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Dysgonomonas, s__
b71275e12b04a199150103e5dc9f8acf,k__Bacteria,,,,,,
bad7e134e0640012182e73517424e2a6,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__, g__, s__
fef120cae8b056648eaea1552ece98ab,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Commensalibacter, s__intestini
e67a3e49f3fb5d1ef061a6a5b7c783b8,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__mitochondria, g__Phytophthora,
14cd2c58454095cfa7ae99a372986843,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Acetobacter, s__
af80dd8e1562c5adadf1f1cf25994c24,k__Bacteria,,,,,,
8036039c8416f70d7e2d7087873a29b1,k__Bacteria,,,,,,
e48a6fb20346943c4f53e88e4af35b1e,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
1019c43d2f94356a5f3dca52c7dea8da,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
7a65dcd6d23b0efe3c4da7ffadd33487,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Leuconostocaceae, g__Leuconostoc, s__
f40b84b7ba3238178f938517c7b15655,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Gluconacetobacter, s__diazotrophicus
4a5a5bbc4451f636dbcb9ebd3d304a1f,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
86db8f95972926b99559057f06709c6f,k__Bacteria,,,,,,
5c62ca5a6dcf43e8e490585e20f4cdc5,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Tanticharoenia, s__sakaeratensis
ad9d0ba01d910be24527867e5aae6134,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Lactococcus, s__
ee643341d5a93a0b3a3fdde8b564c6e1,k__Bacteria, p__Proteobacteria,,,,,
33f36fbc43c65afa223d3870a01737c5,k__Bacteria, p__Cyanobacteria, c__Chloroplast, o__Streptophyta, f__, g__, s__
4a07adefdd219b6c8426951444b654a6,k__Bacteria,,,,,,
28490b6f0807445b92665c15f1c67e24,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae,,
8d2836cca93949ce11251016a055a604,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Commensalibacter, s__intestini
50f735a14f928b94c717604fb98f4ae2,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Acetobacter, s__
5d53223844ab9a986669edc2d05504d5,k__Bacteria,,,,,,
b0f7082da3862f21c8a314d5e54a8598,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria,,,,
6b71cddb98bfe79f475df7dfe6194ab2,k__Bacteria,,,,,,
fcd09e429c27cc50b36cbbf777e7bb63,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Dysgonomonas, s__
f6e5cb5199937394c59032a912e315dd,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Gluconobacter, s__
6a3984d11960392c9a1e95046cd663e7,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Acetobacter, s__
83279096c3311ed4b5397e622476fc60,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Christensenellaceae, g__, s__
4b004b387a9dfb2089ec7fc39dd54e98,k__Bacteria, p__Bacteroidetes, c__[Saprospirae], o__[Saprospirales], f__Chitinophagaceae, g__, s__
8aa69f02826f9fddad8119450f3307c2,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Acetobacter,
93bd2927008214aecdafdc4ee3b92ab1,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Gluconobacter, s__
9fd91c8e599049db206139795658dc19,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas, s__
3dfaa3459d4b86dc4476850b9c67b056,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
b8115906caa99f5bb8340efc40df63a1,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__Morganella, s__morganii
73ddca14d61f9ee3cb333410cc773155,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Gluconacetobacter, s__diazotrophicus
6936b45f3f8838a598f9be4fd94a2bff,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__, g__, s__
7a6daf5671fc3dcfde5c048147a5ec5a,k__Bacteria,,,,,,
e78226991af62c78a0913c199eb7ccef,k__Bacteria,,,,,,
3b91f3f853208fbb2227f5736c7f82bb,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Leuconostocaceae, g__Weissella,
4b36a550edcb932e29ab7959cdb1cd30,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Holosporaceae, g__, s__
7567a48ef54059c218f425dadd6d3aaf,k__Bacteria,,,,,,
ff8571a3ec359b72cc51f3cdd9ecc72d,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Gluconacetobacter, s__liquefaciens
7545f45c8a77205855745a8249ad8f4b,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Acetobacter, s__
15d65eb6114eabd2f6ff7afa2f80a42b,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__, g__, s__
63c6e42f18144b3b4bfbc1220e8c57bc,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Commensalibacter, s__intestini
37e28d98513919036b994e06b706046f,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Dysgonomonas, s__
6effb83bdc2f2de52218e5a438f66523,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Holosporaceae, g__, s__
94e79afce3eee86a4329880a04999812,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Bradyrhizobiaceae, g__Bradyrhizobium,
c0e1c7145c6e0ec94fd57ead3a464cd3,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus, s__
1fd453b8fcad99ebbbbab23d54ca3a9a,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
1119c91f73380126c5b1cd918123403c,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Rickettsiaceae, g__Wolbachia, s__
c86ffd196b0078ccecba86a814ebdfc5,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus, s__brevis
7922804f293a81b42d61221ca5ef4dea,k__Bacteria,,,,,,
000877bb7362b5b22484858dfaf3bca3,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas, s__
ca66667bab9d3b92e681a5b5f6b35440,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Gluconobacter, s__
5fde5a7b5e65c315f107dc3e08d57b1d,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae, g__Corynebacterium, s__variabile
57c25a96abc39c8f22548852187fce11,k__Bacteria, p__Tenericutes, c__Mollicutes, o__Entomoplasmatales, f__, g__, s__
7137da4d66d1e80b5913036e4971e645,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus, s__zeae
0fba3e176ca9c6d71711dee681585a95,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae,,
3512eb609918d44ff7648d93df37c4af,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
e4e2279879a7ee12b7f31b97323b0a3f,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__
8423c22e4005748f451b36b6d7c73e23,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Dysgonomonas, s__
28a55e11ff151c6f63867495d740bfa4,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
8827262323b0961c125cdc09573b4f24,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae,,
2fa72c3bc89ecc116da227943f00edae,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__
33ae243b2d9a2c0231706a6de1315a80,k__Bacteria,,,,,,
01ec319079b5cda8b0148f5fd9fcb6ca,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__, g__, s__
be594b922d2adc5e64b00db692c66ef2,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__, g__, s__
452f388ffc1754d1dec90da2a01e76ba,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__, g__, s__
009db44313bceed68ddaca6d5469f26a,k__Bacteria, p__Tenericutes, c__Mollicutes, o__Entomoplasmatales, f__, g__, s__
1bee4256286afa78c751b74958a34fc1,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Dysgonomonas, s__
e9a14d164ab0512dd06be22c1ebb0cd3,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Hyphomicrobiaceae, g__Rhodoplanes, s__
f3d2695fe2ec5773e82e3db0c86e41f0,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Dysgonomonas, s__
0d56998155cf6de096afd8f462ccd125,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Dysgonomonas, s__
b4cb8fbcd718d24c6b285a20cedff4c2,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
692d79d5416314c4ae89a04f14736249,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
32f5b81881165ce2c13b6852025a96d3,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__
6a90ed35d61aa6c3719e1f9643e6ca77,k__Bacteria, p__Cyanobacteria, c__Chloroplast, o__Streptophyta, f__, g__, s__
04846f5cbd665fca3546c8f026bdd6cd,k__Bacteria, p__Verrucomicrobia, c__[Spartobacteria], o__[Chthoniobacterales], f__[Chthoniobacteraceae], g__Candidatus Xiphinematobacter, s__
34e8294334b81aec9a78e73894284692,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__[Weeksellaceae], g__Wautersiella, s__
56ffe2abd103b2aaaf65b2467f5ded21,k__Bacteria,,,,,,
48c1b6dca970f19075933d7bc9379037,k__Bacteria, p__Verrucomicrobia, c__[Spartobacteria], o__[Chthoniobacterales], f__[Chthoniobacteraceae], g__DA101, s__
081de5d7f34c68e757df977b53ab4dcc,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__Providencia, s__
f0229395c483781d3f6bbfd7de34d2d5,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nakamurellaceae, g__, s__
3f1eed8fd44f07b29f7856058d1aed64,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
202a16d8f36c48d907fddec1274f4da3,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae,,
29e95806a1f560f4408c6bd0fe0f26c4,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__Xenorhabdus,
1959cfa38a1e0c7c3a303b1d2e7afdb0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Mycobacteriaceae, g__Mycobacterium, s__
87598f9f5de9c5d710432e19ef64ee18,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__, g__, s__
de0e75d32b4dbfe18d4cb17dc47b3715,k__Archaea, p__Crenarchaeota, c__Thaumarchaeota, o__Nitrososphaerales, f__Nitrososphaeraceae, g__Candidatus Nitrososphaera, s__SCA1145
375ea86b100beb8bec96dd06679ebe3f,k__Bacteria, p__Tenericutes, c__Mollicutes, o__Entomoplasmatales, f__, g__, s__
88571fc9c6809582cd968ff531f7bdfe,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Acetobacter, s__
e250bfe13ed0b6e841724a67b6e567b3,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
3a4ac13197ed0ee9838a4d3a08239970,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Dysgonomonas, s__
8ab606959ccfdb1ee894674fef435bc3,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardiaceae, g__Rhodococcus, s__fascians
dd2abb03caffa6424768fcbf04afe2e2,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas, s__viridiflava
a54ec46311f961cb082d11f8cf9d9c44,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__, g__, s__
76571d1058e79e954eef3495e20d09a0,k__Bacteria,,,,,,
552f48163f5a6995dbd67cf66cac0009,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__Stenotrophomonas, s__maltophilia
7b75fd4cff51053ec9dce0d96c68c6ec,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales,,,
def777f061c475530d8d6cec508ca18b,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
83f0a7ad1639c2ddd84b110453c78e77,k__Bacteria, p__Cyanobacteria, c__Chloroplast, o__Streptophyta, f__, g__, s__
6c99c79401d6a7c503e71980fb0df9e9,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
4639e0a449a43151cf016412a2f2c99a,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Acetobacter, s__
b09654be7172b96259a4c9f0796d5737,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Acetobacter, s__
b92ac87785375cff2b01751c912c5efd,k__Bacteria, p__Verrucomicrobia, c__[Spartobacteria], o__[Chthoniobacterales], f__[Chthoniobacteraceae], g__DA101, s__
cbab7b79519f5a87438ca3f03d52aa97,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Christensenellaceae, g__, s__
31328137779d8c2136c9edd42ed0c884,k__Archaea, p__Crenarchaeota, c__Thaumarchaeota, o__Nitrososphaerales, f__Nitrososphaeraceae, g__Candidatus Nitrososphaera, s__SCA1145
bcdfa2136cd67ada623fcebc30ad395d,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__, g__, s__
ab5a99b286d49cd4cba2b15b7d51c10a,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__[Weeksellaceae], g__Chryseobacterium, s__
f4950f823a279f431cafd38ae550ac49,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Gluconacetobacter,
b3989099c2a17c6ebe6e9452f225ec07,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__, g__, s__
6229413ffe18b9dadcec1c362f8f3fb1,k__Bacteria, p__Bacteroidetes,,,,,
21ee9975590c2227650d1491b6b5dd55,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas,
7a403a4f13c3d63032c5d8603b4601d5,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__mitochondria, g__Phytophthora, s__sojae
cd063bad8e275866145a1584c3bc3216,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Dysgonomonas, s__
cea97af296cf884a46db0706e9880b3a,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Gluconacetobacter, s__diazotrophicus
25e0c8b12f4b8e92820bbe2637201487,k__Bacteria, p__Chloroflexi, c__Ellin6529, o__, f__, g__, s__
e5141049ca20e733acd803eb556991e6,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Dysgonomonas, s__
541ca3788e1db28567f5fae4fba50c8d,k__Bacteria, p__Acidobacteria, c__Acidobacteriia, o__Acidobacteriales, f__Acidobacteriaceae, g__Terriglobus, s__
81f6a082ccf7973a93f0ef1589e00165,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__[Weeksellaceae], g__Chryseobacterium, s__
2427c20d6a22738463fa7f207d9a2009,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micrococcaceae, g__Arthrobacter,
3d262188d329a88014f176d70f59c4cf,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__, g__, s__
990cdfb9e4f800f6edd5246090648821,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas,
3e765c40031cfa11d6b16b98b8c459ea,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas, s__fragi
aab554942013fb85f9808a6d842edaa4,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__, g__, s__
480e65b27126bdcdaa629079f3f51471,k__Bacteria, p__Acidobacteria, c__Acidobacteria-6, o__iii1-15, f__, g__, s__
579f76b503819189628481cbd5c885dc,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Oceanospirillaceae, g__, s__
00c34c1537bd19a72258ee7571db2a31,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Acetobacter, s__
2cfb380199c7e4782b8341b6a2db227d,k__Bacteria, p__Verrucomicrobia, c__[Spartobacteria], o__[Chthoniobacterales], f__[Chthoniobacteraceae], g__Candidatus Xiphinematobacter, s__
cacfe596fc364229cf28eb0deac659d0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Acinetobacter,
5722b593f9284c893ef3e447bda8f99d,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae, g__Gluconacetobacter, s__intermedius
696ca321e9c6fef28f5c76d12576d1a6,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
